"","ds.ID","ds.agreementfinal","ds.share_type","ds.Q1a","ds.Q1b_1","ds.Q1b_2","ds.Q1b_3","ds.Q1b_4","ds.Q1b_5","ds.Q1b_6","ds.Q1b_7","ds.Q1c","ds.Q1d","ds.Q1e_1","ds.Q1e_2","ds.Q1e_3","ds.Q1f","ds.Q1g_1","ds.Q1g_2","ds.Q1g_3","ds.Q1g_4","ds.Q1g_5","ds.Q1g_6","ds.Q1g_7","ds.Q1g_8","ds.Q1h","ds.Q1i","ds.Q5a","ds.Q5b","ds.Q5c","ds.Q5d_1","ds.Q5d_2","ds.Q5d_3","ds.Q5d_4","ds.Q5d_5","ds.Q5d_6","ds.Q5d_7","ds.Q5d_8","ds.Q5d_9","ds.Q5d_10","ds.Q5d_11","ds.Q5d_12"
"56",85,1,1,6,NA,NA,1,NA,NA,1,NA,1,6,3,3,3,1,1,1,1,1,NA,NA,1,NA,2,1,2,1,1,6,1,5,2,1,1,4,1,2,2,3,3
"57",86,1,1,6,NA,NA,NA,NA,1,NA,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,1,2,5,5,4,6,6,6,6,6,4,3,6,4
"58",87,0,1,1,1,NA,NA,NA,1,NA,NA,1,9,3,1,1,1,1,1,1,NA,NA,1,1,NA,1,2,3,1,3,5,2,3,6,3,5,3,6,2,2,4,3
"59",88,1,2,2,NA,NA,NA,NA,NA,NA,1,1,8,2,3,3,1,1,1,1,1,1,1,1,NA,1,1,5,4,1,6,1,4,3,4,1,6,1,2,1,5,1
"60",89,0,3,1,1,NA,NA,NA,1,NA,NA,1,11,1,1,1,1,1,1,1,1,1,NA,1,NA,2,2,1,1,2,4,4,3,4,2,2,3,4,4,4,4,4
"61",90,1,1,1,NA,1,NA,NA,NA,NA,NA,6,11,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,2,2,1,3,5,5,5,6,3,2,4,6,4,1,4,4
"62",91,1,1,6,1,NA,NA,NA,NA,NA,NA,1,13,3,1,1,1,1,1,1,1,1,NA,1,NA,1,2,3,1,3,6,5,5,4,1,2,5,5,2,1,3,2
"63",92,1,1,1,NA,NA,NA,NA,1,NA,NA,1,5,1,1,1,1,1,1,1,NA,NA,NA,1,NA,2,2,3,1,3,6,3,6,3,3,4,4,4,1,1,2,2
"64",93,1,1,1,NA,NA,NA,NA,1,NA,NA,1,5,3,2,1,1,1,NA,NA,1,1,NA,1,NA,2,2,2,1,3,6,5,6,6,3,4,6,6,1,2,4,4
"65",94,1,3,1,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,1,1,3,6,4,5,6,3,4,6,5,2,1,2,5
"66",95,1,1,1,NA,NA,NA,NA,1,NA,NA,1,2,1,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,4,1,2,6,6,4,1,5,1,4,1,1,1,1,1
"67",96,1,3,1,NA,NA,NA,NA,1,NA,NA,1,5,3,1,1,1,1,1,1,1,NA,NA,1,NA,2,2,1,1,1,6,1,5,1,2,1,5,1,1,1,1,2
"68",97,1,1,1,1,NA,NA,NA,1,NA,NA,1,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,1,2,5,3,5,5,1,6,5,3,4,4,2,5
"69",98,1,1,1,NA,NA,NA,NA,1,NA,NA,1,2,2,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,4,1,2,5,5,4,3,1,5,5,3,3,3,4,4
"70",99,0,1,1,NA,NA,NA,NA,1,1,NA,1,12,1,1,3,1,1,1,1,1,1,1,1,NA,2,1,5,1,3,5,6,3,6,6,3,3,6,4,3,4,5
"71",100,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,1,2,4,5,4,4,4,3,5,3,4,2,6,5
"72",102,1,1,1,NA,NA,NA,NA,1,NA,NA,1,8,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,3,6,6,5,4,5,1,6,3,2,1,5,4
"73",106,1,2,1,NA,NA,NA,NA,1,NA,NA,1,8,2,1,1,1,1,1,NA,1,NA,NA,1,NA,1,1,2,2,2,5,4,4,1,1,1,1,1,1,4,3,4
"74",109,1,1,1,1,NA,NA,NA,NA,NA,NA,1,4,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,1,3,6,5,4,5,3,5,5,3,4,2,4,5
"75",110,1,2,2,NA,1,NA,NA,NA,NA,NA,1,2,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,3,3,1,6,2,6,1,1,1,6,1,4,1,1,4
"76",112,1,2,1,1,1,NA,NA,1,1,NA,1,10,3,1,3,1,1,1,1,1,1,1,1,NA,1,2,2,2,1,5,3,4,3,1,2,4,3,1,2,4,5
"77",113,0,2,1,NA,NA,NA,NA,NA,NA,1,2,25,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,2,2,5,5,2,1,1,1,NA,NA,1,1,NA,NA
"78",114,1,1,1,NA,NA,NA,1,NA,1,NA,1,2,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,2,1,2,1,3,4,6,4,5,4,3,5,5,3,4,4,4
"79",115,1,2,1,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,2,1,2,3,6,5,4,4,6,5,5,4,5,5,4,5
"80",116,0,2,1,NA,NA,NA,NA,NA,NA,1,1,30,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,2,1,2,2,1,4,3,2,2,1,2,4,2,1,1,2,3
"81",117,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,1,1,6,2,4,1,2,4,4,1,1,1,1,4
"82",118,1,2,1,NA,1,NA,NA,NA,NA,NA,1,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,1,1,2,1,2,1,6,5,5,2,4,5,2,2,5,2,4,4
"83",119,1,2,1,NA,NA,NA,1,NA,NA,NA,1,6,1,1,1,2,NA,1,NA,NA,NA,NA,NA,1,1,2,2,2,1,6,6,6,1,6,1,1,4,2,2,2,2
"84",120,1,2,1,NA,1,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,1,NA,1,NA,NA,1,NA,2,1,3,2,3,6,3,4,1,4,1,3,4,1,1,5,4
"85",121,1,2,1,NA,NA,NA,NA,NA,NA,1,1,10,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,3,2,1,6,2,6,2,5,2,5,4,1,1,2,2
"86",122,1,2,1,NA,NA,NA,NA,1,NA,1,3,20,1,1,1,1,NA,1,1,1,1,NA,1,NA,1,2,3,2,3,6,3,4,3,2,3,4,4,4,3,3,5
"87",123,1,1,1,NA,NA,NA,NA,NA,NA,1,1,6,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,1,2,2,1,3,5,6,6,6,6,6,5,6,6,5,2,6
"88",124,0,2,1,NA,NA,1,NA,NA,1,1,1,22,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,4,3,3,4,NA,3,4,1,1,1,5,2,2,2,2
"89",125,1,2,1,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,2,1,2,3,1,6,3,6,3,1,1,4,3,1,1,2,2
"90",126,1,2,2,NA,1,NA,1,1,1,NA,1,1,1,1,2,1,NA,1,NA,1,1,NA,1,NA,1,2,5,2,1,6,2,6,2,4,2,5,4,1,1,2,2
"91",127,0,1,2,NA,NA,NA,NA,NA,NA,1,1,7,1,1,1,2,NA,1,NA,NA,1,NA,NA,NA,1,1,3,1,3,5,5,3,5,1,3,4,6,6,1,1,1
"92",128,0,3,1,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,5,6,3,4,5,4,4,4,4,4,4,4
"93",129,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,3,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",130,1,2,1,NA,NA,NA,NA,NA,NA,1,1,17,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,3,2,3,4,4,5,2,1,4,5,2,2,4,2,4
"95",131,0,1,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,2,1,4,1,2,5,5,1,4,2,6,2,5,3,3,3,6
"96",132,0,1,1,NA,NA,NA,NA,NA,NA,1,1,5,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,1,1,4,4,3,4,1,4,4,5,1,4,4,4
"97",133,0,1,1,NA,NA,NA,NA,NA,1,1,1,11,2,1,3,1,1,1,1,1,1,NA,1,NA,1,1,2,1,3,4,6,3,3,5,6,3,4,5,5,6,6
"98",134,0,3,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,2,NA,1,NA,NA,NA,NA,1,NA,2,2,1,1,1,6,1,2,5,2,4,5,4,4,2,5,5
"99",135,1,1,1,NA,NA,NA,NA,1,NA,NA,1,2,3,1,1,1,1,1,1,1,1,1,NA,NA,1,1,2,1,1,5,2,4,1,4,6,4,1,6,3,6,4
"100",136,1,2,2,NA,NA,NA,NA,NA,NA,1,1,30,1,2,3,1,1,NA,1,1,1,NA,1,NA,1,1,2,2,3,6,4,4,4,5,2,5,4,2,1,4,4
"101",137,0,1,1,NA,NA,NA,NA,NA,NA,1,1,15,1,1,1,1,1,1,1,1,NA,NA,1,1,2,1,2,1,2,5,6,3,3,5,4,3,4,5,4,6,5
"102",138,0,1,1,NA,NA,NA,1,NA,1,NA,1,3,1,1,3,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,5,1,1,6,4,1,3,1,4,1,2,3,1,3,4
"103",139,0,2,1,NA,NA,NA,NA,NA,NA,1,1,12,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,2,2,2,3,6,2,4,6,6,2,4,6,5,6,5
"104",140,1,1,1,NA,NA,NA,NA,1,NA,NA,1,13,2,1,1,1,1,NA,1,1,NA,NA,1,NA,2,2,2,1,3,5,4,4,3,4,4,3,4,1,3,3,4
"105",141,1,2,1,NA,1,NA,1,NA,NA,1,1,9,1,1,1,2,1,1,NA,1,NA,NA,1,NA,2,1,3,3,1,6,4,5,2,3,5,4,3,1,2,1,6
"106",142,1,3,1,NA,NA,NA,NA,NA,NA,1,1,3,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,1,1,1,1,3,6,NA,4,6,6,6,4,6,5,5,5,5
"107",143,1,2,1,NA,1,NA,NA,NA,NA,NA,1,4,1,1,1,1,NA,1,NA,NA,1,NA,NA,NA,1,1,3,2,1,5,5,5,2,2,2,5,1,2,2,2,4
"108",144,1,2,2,1,NA,NA,NA,NA,NA,NA,1,23,3,3,3,1,1,1,1,1,NA,NA,1,NA,1,2,2,2,1,6,4,6,2,1,3,4,5,1,1,4,4
"109",145,1,3,1,NA,NA,NA,NA,NA,NA,1,1,7,1,1,1,1,1,NA,NA,1,NA,NA,1,NA,2,2,1,1,3,6,1,4,1,1,6,1,1,1,1,NA,3
"110",147,0,3,6,NA,1,NA,NA,1,NA,NA,1,20,1,3,1,1,NA,NA,NA,NA,NA,1,1,NA,2,2,1,1,3,2,5,2,3,2,3,4,3,2,2,3,5
"111",148,0,1,1,NA,NA,NA,NA,NA,NA,1,6,5,1,1,1,1,1,1,1,1,1,NA,1,1,2,2,4,1,3,6,6,3,6,6,3,4,6,6,2,3,6
"112",149,1,3,2,NA,NA,NA,NA,NA,1,NA,1,2,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,2,5,6,5,5,3,5,5,5,3,3,4,3
"113",150,0,2,1,NA,NA,NA,NA,NA,NA,1,2,17,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,5,6,3,1,3,5,3,4,3,3,4,5
"114",151,1,2,1,NA,NA,NA,NA,NA,NA,1,3,8,1,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,2,4,2,6,5,4,1,1,1,5,3,1,1,4,4
"115",152,1,2,1,NA,NA,NA,1,NA,NA,NA,2,13,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,4,4,1,6,3,5,1,1,2,4,2,2,1,3,4
"116",153,0,1,1,NA,NA,NA,1,NA,NA,1,1,6,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,1,2,5,6,3,3,5,6,4,3,1,6,5,6
"117",154,1,2,1,NA,1,NA,1,NA,1,NA,3,15,1,1,1,1,NA,1,1,NA,1,NA,1,NA,1,2,2,4,3,6,4,6,1,5,6,4,5,5,4,5,6
"118",155,1,1,1,NA,NA,NA,NA,NA,1,NA,1,3,1,1,3,2,1,1,NA,NA,NA,NA,1,NA,1,2,3,1,1,6,2,6,2,1,1,6,4,1,1,4,2
"119",156,0,2,6,NA,1,NA,NA,NA,NA,1,2,8,1,1,1,1,1,1,NA,NA,1,NA,1,NA,1,1,3,3,3,6,4,1,6,2,6,4,6,4,6,5,6
"120",172,1,3,1,NA,NA,NA,1,NA,NA,NA,1,15,1,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,1,2,1,1,1,5,2,5,4,2,3,4,3,1,2,2,2
"121",174,1,3,4,NA,NA,NA,NA,1,NA,1,6,3,1,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,1,1,3,6,3,4,4,6,3,3,3,3,3,3,4
"122",178,1,1,1,NA,NA,NA,NA,NA,NA,1,2,4,2,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,1,1,6,4,5,5,5,4,5,5,5,5,5,5
"123",186,1,3,1,NA,NA,NA,NA,NA,1,NA,1,3,1,1,2,1,1,1,NA,1,1,NA,1,NA,2,2,1,1,2,6,6,4,5,1,1,5,6,3,2,4,2
"124",187,1,2,1,NA,1,NA,1,NA,1,NA,1,3,1,1,2,2,1,1,NA,1,NA,NA,NA,NA,1,2,2,2,1,4,3,4,4,4,4,4,3,3,3,4,3
"125",188,1,2,1,NA,NA,NA,1,NA,NA,NA,1,30,1,1,3,2,NA,1,NA,NA,NA,NA,NA,NA,2,2,3,2,3,4,4,4,4,4,4,4,3,2,3,4,4
"126",189,1,2,1,NA,NA,NA,1,1,1,NA,1,10,1,1,3,1,1,1,NA,1,NA,NA,1,NA,2,2,3,3,3,6,5,5,4,2,3,3,4,3,1,3,4
"127",190,1,2,1,NA,NA,NA,NA,NA,1,NA,6,10,1,1,3,1,1,1,NA,1,1,NA,1,NA,1,2,2,2,1,6,1,6,1,1,2,6,1,1,1,2,2
